Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Gasoline,6,28,21
Acura,Gasoline,4,35,25
Alfa Romeo,Gasoline,6,24,17
Alfa Romeo,Gasoline,4,33,24
Aston Martin,Gasoline,12,19,12
Audi,Gasoline,10,22,14
Audi,Gasoline,8,26,17
Audi,Gasoline,6,27,19
Audi,Gasoline,4,30,23
Audi,Gasoline,4,32,24
Bentley,Gasoline,12,20,12
Bentley,Gasoline,8,22,13
BMW,Gasoline,12,20,13
BMW,Gasoline,8,23,15
BMW,Gasoline,6,28,19
BMW,Diesel,6,29,23
BMW,Gasoline,3,29,28
BMW,Gasoline,4,32,23
BMW,Gasoline,2,33,36
BMW,Diesel,4,41,30
BMW,Electricity,0,109,133
Buick,Gasoline,6,26,18
Buick,Gasoline,4,27,20
Buick,Gasoline,4,31,23
Cadillac,Gasoline,8,21,14
Cadillac,Gasoline,8,21,15
Cadillac,Gasoline,6,25,17
Cadillac,Gasoline,6,26,18
Cadillac,Gasoline,4,30,22
Cadillac,Gasoline,4,32,22
Chevrolet,Gasoline,8,21,15
Chevrolet,Gasoline,8,23,15
Chevrolet,Gasoline,6,24,17
Chevrolet,Diesel,4,29,21
Chevrolet,Gasoline,4,31,21
Chevrolet,Gasoline,4,34,27
Chevrolet,Electricity,0,110,128
Chrysler,Gasoline,8,25,16
Chrysler,Gasoline,6,29,20
Chrysler,Gasoline,4,36,23
Dodge,Gasoline,10,19,12
Dodge,Gasoline,8,23,14
Dodge,Gasoline,8,24,15
Dodge,Gasoline,4,25,19
Dodge,Gasoline,6,27,18
Ferrari,Gasoline,12,16,12
Ferrari,Gasoline,8,22,16
Fiat,Gasoline,4,30,22
Fiat,Gasoline,4,34,26
Fiat,Electricity,0,103,121
Ford,Gasoline,6,18,11
Ford,Gasoline,8,21,14
Ford,Gasoline,8,22,15
Ford,Gasoline,6,23,17
Ford,Gasoline,4,25,19
Ford,Gasoline,4,31,24
Ford,Gasoline,3,40,29
Ford,Electricity,0,96,118
Genesis,Gasoline,8,23,15
Genesis,Gasoline,6,24,17
Genesis,Gasoline,6,27,17
GMC,Gasoline,8,21,15
GMC,Gasoline,6,23,17
GMC,Gasoline,4,27,20
GMC,Diesel,4,29,21
Honda,Gasoline,6,28,19
Honda,Gasoline,4,37,29
Honda,Gasoline,4,38,30
Hyundai,Gasoline,6,25,18
Hyundai,Gasoline,4,34,27
Hyundai,Electricity,0,122,150
Infiniti,Gasoline,8,22,15
Infiniti,Gasoline,6,27,20
Infiniti,Gasoline,4,27,25
Infiniti,Gasoline,4,30,22
Jaguar,Gasoline,8,23,15
Jaguar,Gasoline,6,26,18
Jaguar,Gasoline,4,30,21
Jaguar,Diesel,4,39,30
Jeep,Gasoline,8,19,13
Jeep,Gasoline,8,22,14
Jeep,Gasoline,6,22,17
Jeep,Gasoline,6,27,19
Jeep,Gasoline,4,27,21
Jeep,Gasoline,4,31,24
Kia,Gasoline,8,23,15
Kia,Gasoline,6,25,18
Kia,Gasoline,4,33,27
Kia,Electricity,0,92,120
Lamborghini,Gasoline,12,17,10
Lamborghini,Gasoline,10,21,14
Land Rover,Gasoline,8,19,14
Land Rover,Gasoline,6,23,17
Land Rover,Gasoline,4,27,20
Land Rover,Diesel,6,28,22
Lexus,Gasoline,8,22,16
Lexus,Gasoline,6,28,20
Lexus,Gasoline,6,28,21
Lexus,Gasoline,4,30,22
Lexus,Gasoline,4,36,39
Lincoln,Gasoline,6,24,16
Lincoln,Gasoline,4,29,23
Lotus,Gasoline,6,24,17
Maserati,Gasoline,8,20,14
Maserati,Gasoline,6,24,16
Mazda,Gasoline,4,34,26
Mazda,Gasoline,4,35,27
McLaren Automotive,Gasoline,8,23,16
Mercedes-Benz,Gasoline,12,20,13
Mercedes-Benz,Gasoline,8,22,16
Mercedes-Benz,Gasoline,6,25,19
Mercedes-Benz,Gasoline,4,30,23
Mercedes-Benz,Electricity,0,82,85
MINI,Gasoline,4,33,24
Mitsubishi,Gasoline,6,27,20
Mitsubishi,Gasoline,4,31,24
Mitsubishi,Gasoline,3,42,35
Mitsubishi,Electricity,0,102,121
Nissan,Gasoline,8,20,14
Nissan,Gasoline,6,25,18
Nissan,Gasoline,6,26,18
Nissan,Gasoline,4,31,26
Nissan,Gasoline,4,33,26
Nissan,Electricity,0,101,124
Porsche,Gasoline,8,21,14
Porsche,Gasoline,6,26,19
Porsche,Gasoline,4,27,21
Ram,Gasoline,8,21,14
Ram,Gasoline,6,24,17
Ram,Gasoline,4,28,21
Rolls-Royce,Gasoline,12,19,12
Roush Performance,Gasoline,8,23,14
smart,Gasoline,3,39,32
Subaru,Gasoline,4,27,21
Subaru,Gasoline,6,28,20
Subaru,Gasoline,4,33,25
Tesla,Electricity,0,98,92
Toyota,Gasoline,8,18,13
Toyota,Gasoline,6,25,20
Toyota,Gasoline,4,30,23
Toyota,Gasoline,4,35,32
Volkswagen,Gasoline,6,25,18
Volkswagen,Gasoline,4,28,21
Volkswagen,Gasoline,4,33,24
Volvo,Gasoline,4,29,22
Volvo,Gasoline,4,32,23
