Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Gasoline,4,35,25
Alfa Romeo,Gasoline,4,33,24
Audi,Gasoline,4,30,23
Audi,Gasoline,4,32,24
BMW,Gasoline,4,32,23
Buick,Gasoline,4,27,20
Buick,Gasoline,4,31,23
Cadillac,Gasoline,4,30,22
Cadillac,Gasoline,4,32,22
Chevrolet,Gasoline,4,31,21
Chevrolet,Gasoline,4,34,27
Chrysler,Gasoline,4,36,23
Dodge,Gasoline,4,25,19
Fiat,Gasoline,4,34,26
Fiat,Gasoline,4,30,22
Ford,Gasoline,4,25,19
Ford,Gasoline,4,31,24
GMC,Gasoline,4,27,20
Honda,Gasoline,4,38,30
Honda,Gasoline,4,37,29
Hyundai,Gasoline,4,34,27
Infiniti,Gasoline,4,30,22
Infiniti,Gasoline,4,27,25
Jaguar,Gasoline,4,30,21
Jeep,Gasoline,4,31,24
Jeep,Gasoline,4,27,21
Kia,Gasoline,4,33,27
Land Rover,Gasoline,4,27,20
Lexus,Gasoline,4,30,22
Lexus,Gasoline,4,36,39
Lincoln,Gasoline,4,29,23
Mazda,Gasoline,4,34,26
Mazda,Gasoline,4,35,27
Mercedes-Benz,Gasoline,4,30,23
MINI,Gasoline,4,33,24
Mitsubishi,Gasoline,4,31,24
Nissan,Gasoline,4,31,26
Nissan,Gasoline,4,33,26
Porsche,Gasoline,4,27,21
Ram,Gasoline,4,28,21
Subaru,Gasoline,4,27,21
Subaru,Gasoline,4,33,25
Toyota,Gasoline,4,30,23
Toyota,Gasoline,4,35,32
Volkswagen,Gasoline,4,28,21
Volkswagen,Gasoline,4,33,24
Volvo,Gasoline,4,29,22
Volvo,Gasoline,4,32,23
